variant,alpha,seed,clean,noise0.1,noise0.2,noise0.3,wnoise0.1,wnoise0.3,wnoise0.5,cert0.05,cert0.1
corridor,-0.3,3,0.9309576837416481,0.9115812917594655,0.7855233853006681,0.6298440979955456,0.9307349665924274,0.9342984409799554,0.9347438752783963,0.9131403118040089,0.8574610244988864
corridor,-0.3,4,0.9376391982182628,0.8973273942093541,0.7592427616926504,0.610467706013363,0.9385300668151446,0.93184855233853,0.9253897550111357,0.9042316258351893,0.8641425389755011
corridor,0.0,0,0.9443207126948775,0.9004454342984409,0.7674832962138085,0.6162583518930957,0.9429844097995543,0.9367483296213808,0.9334075723830735,0.888641425389755,0.8195991091314031
corridor,0.0,1,0.933184855233853,0.9066815144766146,0.7790645879732739,0.6267260579064587,0.9374164810690422,0.9349665924276168,0.9351893095768373,0.9064587973273942,0.8641425389755011
corridor,0.0,2,0.9398663697104677,0.9062360801781738,0.7866369710467706,0.64543429844098,0.939643652561247,0.9378619153674832,0.9336302895322939,0.9086859688195991,0.8619153674832962
corridor,0.0,3,0.8552338530066815,0.8403118040089087,0.7405345211581291,0.6064587973273943,0.8559020044543428,0.8570155902004455,0.8561247216035636,0.8374164810690423,0.7884187082405345
corridor,0.0,4,0.9376391982182628,0.8959910913140312,0.7614699331848552,0.6040089086859688,0.9383073496659241,0.9311804008908686,0.9273942093541201,0.9198218262806236,0.8663697104677061
corridor,0.3,0,0.9576837416481069,0.9233853006681514,0.8028953229398663,0.6503340757238307,0.9563474387527842,0.9552338530066816,0.9429844097995546,0.910913140311804,0.8530066815144766
corridor,0.3,1,0.955456570155902,0.9265033407572382,0.7984409799554566,0.6481069042316259,0.9541202672605792,0.9521158129175946,0.944097995545657,0.9242761692650334,0.8819599109131403
corridor,0.3,2,0.9398663697104677,0.9173719376391982,0.7937639198218263,0.658129175946548,0.9423162583518929,0.9365256124721603,0.9389755011135857,0.9131403118040089,0.8663697104677061
