config,seed,clean,noise0.1,noise0.2,noise0.3,wnoise0.1,wnoise0.3,wnoise0.5,cert0.05,cert0.1,q6,q4,q3,q2,p0.5,p0.8,p0.9
backprop,1,0.9665924276169265,0.957683741648107,0.9042316258351892,0.7917594654788419,0.9670378619153676,0.9594654788418711,0.9231625835189309,0.0,0.0,0.9665924276169265,0.9643652561247216,0.8084632516703786,0.0801781737193764,0.9643652561247216,0.5879732739420935,0.133630289532294
backprop+noise,1,0.9755011135857461,0.9697104677060135,0.9545657015590201,0.8944320712694876,0.9726057906458798,0.9710467706013365,0.9583518930957686,0.0,0.0,0.9755011135857461,0.9732739420935412,0.9287305122494433,0.1291759465478842,0.9732739420935412,0.5924276169265034,0.19821826280623608
interval const,1,0.933184855233853,0.9066815144766146,0.7790645879732739,0.6267260579064587,0.9374164810690422,0.9349665924276168,0.9351893095768373,0.9064587973273942,0.8641425389755011,0.9420935412026726,0.9420935412026726,0.9354120267260579,0.4142538975501114,0.9398663697104677,0.933184855233853,0.8285077951002228
interval inc,1,0.9643652561247216,0.9407572383073495,0.8383073496659244,0.6859688195991092,0.9634743875278398,0.9574610244988866,0.9487750556792871,0.9220489977728286,0.8530066815144766,0.9532293986636972,0.9420935412026726,0.9086859688195991,0.10244988864142539,0.9510022271714922,0.888641425389755,0.5924276169265034
interval dec,1,0.9465478841870824,0.9126948775055679,0.7861915367483296,0.6334075723830735,0.9447661469933184,0.9438752783964365,0.9414253897550111,0.9265033407572383,0.8730512249443207,0.9420935412026726,0.9376391982182628,0.910913140311804,0.30957683741648107,0.9420935412026726,0.933184855233853,0.8797327394209354
weight-noise const,1,0.9710467706013363,0.959910913140312,0.9006681514476614,0.7877505567928731,0.971269487750557,0.9679287305122495,0.9374164810690422,0.0,0.0,0.9710467706013363,0.9576837416481069,0.7616926503340757,0.0779510022271715,0.9665924276169265,0.5968819599109132,0.133630289532294
weight-noise inc,1,0.9710467706013363,0.959910913140312,0.9015590200445434,0.7857461024498887,0.9717149220489979,0.9692650334075725,0.9501113585746103,0.0,0.0,0.9732739420935412,0.9665924276169265,0.9020044543429844,0.07349665924276169,0.9621380846325167,0.49665924276169265,0.1492204899777283
interval+box const,1,0.7416481069042317,0.7356347438752785,0.7097995545657015,0.6367483296213808,0.7443207126948777,0.7456570155902005,0.7440979955456571,0.7282850779510023,0.7037861915367484,0.7416481069042317,0.7394209354120267,0.7371937639198218,0.22494432071269488,0.7416481069042317,0.732739420935412,0.7305122494432071
interval+box inc,1,0.7527839643652561,0.7518930957683742,0.7216035634743876,0.6538975501113586,0.7523385300668151,0.7516703786191536,0.7521158129175947,0.734966592427617,0.7193763919821826,0.7505567928730512,0.7505567928730512,0.6792873051224945,0.16481069042316257,0.7505567928730512,0.7438752783964365,0.6636971046770601
interval+box dec,1,0.755011135857461,0.7418708240534521,0.7064587973273943,0.6342984409799555,0.7545657015590199,0.7523385300668151,0.7434298440979955,0.732739420935412,0.6904231625835189,0.7527839643652561,0.7483296213808464,0.7371937639198218,0.1915367483296214,0.7527839643652561,0.7416481069042317,0.6592427616926503
backprop,2,0.9665924276169265,0.9594654788418711,0.8841870824053452,0.777728285077951,0.9674832962138085,0.9581291759465479,0.8879732739420936,0.0,0.0,0.9688195991091314,0.9487750556792873,0.8507795100222717,0.19821826280623608,0.9354120267260579,0.37193763919821826,0.19821826280623608
backprop+noise,2,0.9799554565701559,0.9824053452115814,0.9605790645879733,0.9077951002227171,0.9832962138084633,0.9815144766146995,0.946325167037862,0.0,0.0,0.9821826280623608,0.9755011135857461,0.8574610244988864,0.155902004454343,0.9576837416481069,0.43875278396436523,0.1714922048997773
interval const,2,0.9398663697104677,0.9062360801781738,0.7866369710467706,0.64543429844098,0.939643652561247,0.9378619153674832,0.9336302895322939,0.9086859688195991,0.8619153674832962,0.9376391982182628,0.9376391982182628,0.9042316258351893,0.3363028953229399,0.9354120267260579,0.9020044543429844,0.7461024498886414
