config,seed,clean,noise0.1,noise0.2,noise0.3,wnoise0.1,wnoise0.3,wnoise0.5,cert0.05,cert0.1,q6,q4,q3,q2,p0.5,p0.8,p0.9
backprop,1,0.9665924276169265,0.957683741648107,0.9042316258351892,0.7917594654788419,0.9670378619153676,0.9594654788418711,0.9231625835189309,0.0,0.0,0.9665924276169265,0.9643652561247216,0.8084632516703786,0.0801781737193764,0.9643652561247216,0.5879732739420935,0.133630289532294
backprop+noise,1,0.9755011135857461,0.9697104677060135,0.9545657015590201,0.8944320712694876,0.9726057906458798,0.9710467706013365,0.9583518930957686,0.0,0.0,0.9755011135857461,0.9732739420935412,0.9287305122494433,0.1291759465478842,0.9732739420935412,0.5924276169265034,0.19821826280623608
interval const,1,0.933184855233853,0.9066815144766146,0.7790645879732739,0.6267260579064587,0.9374164810690422,0.9349665924276168,0.9351893095768373,0.9064587973273942,0.8641425389755011,0.9420935412026726,0.9420935412026726,0.9354120267260579,0.4142538975501114,0.9398663697104677,0.933184855233853,0.8285077951002228
interval inc,1,0.977728285077951,0.9632516703786193,0.8888641425389755,0.7645879732739421,0.978173719376392,0.9741648106904233,0.9672605790645881,0.9487750556792873,0.8329621380846325,0.9799554565701559,0.9643652561247216,0.9309576837416481,0.12026726057906459,0.9710467706013363,0.9220489977728286,0.43207126948775054
interval dec,1,0.8084632516703786,0.7694877505567929,0.6418708240534522,0.5138084632516704,0.8062360801781738,0.8042316258351894,0.8044543429844098,0.7884187082405345,0.7661469933184856,0.8084632516703786,0.8062360801781737,0.8106904231625836,0.42316258351893093,0.8040089086859689,0.8040089086859689,0.7951002227171492
weight-noise const,1,0.9710467706013363,0.959910913140312,0.9006681514476614,0.7877505567928731,0.971269487750557,0.9679287305122495,0.9374164810690422,0.0,0.0,0.9710467706013363,0.9576837416481069,0.7616926503340757,0.0779510022271715,0.9665924276169265,0.5968819599109132,0.133630289532294
weight-noise inc,1,0.9710467706013363,0.9596881959910915,0.9024498886414254,0.7884187082405345,0.9728285077951003,0.9688195991091314,0.9400890868596884,0.0,0.0,0.9710467706013363,0.9755011135857461,0.9220489977728286,0.12249443207126949,0.9688195991091314,0.6325167037861915,0.08685968819599109
interval+box const,1,0.7416481069042317,0.7356347438752785,0.7097995545657015,0.6367483296213808,0.7443207126948777,0.7456570155902005,0.7440979955456571,0.7282850779510023,0.7037861915367484,0.7416481069042317,0.7394209354120267,0.7371937639198218,0.22494432071269488,0.7416481069042317,0.732739420935412,0.7305122494432071
interval+box inc,1,0.9420935412026726,0.9282850779510021,0.8964365256124722,0.7979955456570156,0.9400890868596881,0.9387527839643652,0.9262806236080177,0.9020044543429844,0.8307349665924276,0.9354120267260579,0.933184855233853,0.9064587973273942,0.10690423162583519,0.9398663697104677,0.9287305122494433,0.8307349665924276
interval+box dec,1,0.732739420935412,0.7191536748329622,0.6717149220489977,0.6073496659242761,0.7338530066815145,0.7311804008908687,0.722271714922049,0.7082405345211581,0.6659242761692651,0.732739420935412,0.7238307349665924,0.6859688195991092,0.11358574610244988,0.7282850779510023,0.7193763919821826,0.5456570155902004
backprop,2,0.9665924276169265,0.9594654788418711,0.8841870824053452,0.777728285077951,0.9674832962138085,0.9581291759465479,0.8879732739420936,0.0,0.0,0.9688195991091314,0.9487750556792873,0.8507795100222717,0.19821826280623608,0.9354120267260579,0.37193763919821826,0.19821826280623608
backprop+noise,2,0.9799554565701559,0.9824053452115814,0.9605790645879733,0.9077951002227171,0.9832962138084633,0.9815144766146995,0.946325167037862,0.0,0.0,0.9821826280623608,0.9755011135857461,0.8574610244988864,0.155902004454343,0.9576837416481069,0.43875278396436523,0.1714922048997773
interval const,2,0.9398663697104677,0.9062360801781738,0.7866369710467706,0.64543429844098,0.939643652561247,0.9378619153674832,0.9336302895322939,0.9086859688195991,0.8619153674832962,0.9376391982182628,0.9376391982182628,0.9042316258351893,0.3363028953229399,0.9354120267260579,0.9020044543429844,0.7461024498886414
